Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,Salida
1.00,-0.62,-1.03,-0.71,-1.02,-0.72,-2.82,0.58,1
1.00,-0.73,-1.05,-0.69,-0.93,-0.73,-1.33,0.53,1
1.00,-0.59,-1.01,-0.58,-1.11,-0.69,-2.49,0.53,1
1.00,-0.64,-0.90,-0.55,-1.20,-0.76,-2.82,0.49,1
1.00,-0.66,-1.16,-0.79,-0.88,-0.64,-0.94,0.55,1
1.00,-0.73,-0.98,-0.79,-0.82,-0.60,-3.58,0.59,1
1.00,-0.66,-1.16,-0.65,-0.96,-0.68,-0.81,0.47,1
1.00,-0.56,-0.98,-0.66,-0.88,-0.68,-2.88,0.61,1
1.00,-0.68,-1.11,-0.75,-1.09,-0.60,-1.62,0.49,1
1.00,-0.71,-0.98,-0.61,-0.90,-0.80,-2.11,0.55,1
1.00,-0.72,-1.18,-0.62,-0.98,-0.62,-1.44,0.48,1
1.00,-0.73,-1.19,-0.73,-0.83,-0.78,-1.34,0.59,1
1.00,-0.69,-0.95,-0.58,-1.15,-0.71,-1.94,0.62,1
1.00,-0.76,-1.00,-0.71,-1.03,-0.65,-2.36,0.51,1
1.00,-0.74,-0.88,-0.56,-0.99,-0.59,-2.35,0.59,1
1.00,-0.68,-1.18,-0.80,-0.88,-0.75,-1.52,0.53,1
1.00,-0.75,-1.02,-0.55,-1.11,-0.67,-4.25,0.58,1
1.00,-0.72,-0.89,-0.69,-1.14,-0.72,-3.36,0.59,1
1.00,-0.79,-0.97,-0.60,-0.98,-0.71,-3.57,0.51,1
1.00,-0.78,-0.93,-0.75,-1.07,-0.67,-1.44,0.49,1
1.00,-0.66,-0.84,-0.75,-1.18,-0.58,-3.34,0.59,1
1.00,-0.77,-0.97,-0.74,-0.94,-0.62,-1.99,0.46,1
1.00,-0.55,-1.01,-0.65,-0.84,-0.73,-3.46,0.56,1
1.00,-0.58,-0.88,-0.66,-1.04,-0.57,-4.37,0.47,1
1.00,-0.60,-1.07,-0.66,-0.91,-0.76,-1.87,0.56,1
1.00,-0.60,-0.82,-0.69,-1.04,-0.55,-0.83,0.48,1
1.00,-0.57,-0.84,-0.66,-0.89,-0.56,-3.90,0.51,1
1.00,-0.72,-1.03,-0.77,-0.92,-0.73,-3.68,0.59,1
1.00,-0.70,-1.07,-0.78,-0.84,-0.70,-2.47,0.49,1
1.00,-0.65,-1.11,-0.71,-1.03,-0.59,-2.57,0.56,1
1.00,-0.68,-1.04,-0.61,-0.86,-0.76,-0.81,0.59,1
1.00,-0.55,-1.14,-0.79,-0.87,-0.70,-1.46,0.48,1
1.00,-0.56,-1.15,-0.74,-0.92,-0.72,-3.32,0.49,1
1.00,-0.55,-0.82,-0.61,-1.12,-0.55,-3.93,0.59,1
1.00,-0.59,-0.86,-0.74,-0.96,-0.66,-3.31,0.55,1
1.00,-0.63,-1.20,-0.75,-0.98,-0.76,-2.68,0.52,1
1.00,-0.78,-1.13,-0.65,-0.82,-0.76,-3.93,0.52,1
1.00,-0.59,-1.05,-0.66,-0.96,-0.79,-1.12,0.47,1
1.00,-0.57,-0.87,-0.75,-1.02,-0.68,-1.86,0.50,1
1.00,-0.64,-1.14,-0.63,-1.01,-0.76,-2.00,0.46,1
1.00,-0.69,-1.16,-0.79,-1.13,-0.63,-4.42,0.59,1
1.00,-0.57,-1.18,-0.55,-0.91,-0.79,-3.86,0.59,1
1.00,-0.63,-0.92,-0.56,-1.05,-0.70,-3.12,0.49,1
1.00,-0.65,-1.05,-0.59,-1.03,-0.60,-2.80,0.52,1
1.00,-0.62,-0.87,-0.64,-0.96,-0.71,-3.58,0.48,1
1.00,-0.61,-0.93,-0.67,-0.93,-0.62,-2.59,0.53,1
1.00,-0.70,-0.92,-0.74,-0.86,-0.55,-2.42,0.61,1
1.00,-0.74,-0.91,-0.62,-1.04,-0.74,-2.16,0.57,1
1.00,-0.62,-1.03,-0.63,-1.10,-0.70,-1.81,0.51,1
1.00,-0.57,-1.18,-0.70,-0.88,-0.56,-2.78,0.50,1
1.00,-0.56,-1.06,-0.56,-0.88,-0.59,-0.80,0.61,1
1.00,-0.76,-0.98,-0.78,-1.02,-0.74,-1.14,0.62,1
1.00,-0.78,-0.89,-0.60,-0.91,-0.63,-1.14,0.59,1
1.00,-0.69,-1.10,-0.67,-1.00,-0.68,-2.78,0.60,1
1.00,-0.63,-1.12,-0.78,-1.13,-0.64,-2.12,0.51,1
1.00,-0.65,-0.93,-0.78,-1.15,-0.62,-1.04,0.58,1
1.00,-0.79,-0.94,-0.58,-0.88,-0.59,-0.99,0.61,1
1.00,-0.66,-0.96,-0.75,-1.13,-0.68,-1.50,0.57,1
1.00,-0.69,-1.10,-0.79,-0.94,-0.64,-0.85,0.47,1
1.00,-0.61,-0.91,-0.68,-0.94,-0.61,-1.46,0.48,1
1.00,-0.60,-0.82,-0.66,-1.03,-0.72,-1.93,0.49,1
1.00,-0.71,-1.01,-0.69,-1.15,-0.58,-2.84,0.54,1
1.00,-0.59,-1.06,-0.77,-0.98,-0.78,-1.07,0.49,1
1.00,-0.67,-1.07,-0.71,-0.95,-0.72,-2.23,0.55,1
1.00,-0.78,-1.00,-0.76,-0.83,-0.71,-4.30,0.53,1
1.00,-0.67,-1.06,-0.60,-1.03,-0.63,-0.93,0.55,1
1.00,-0.80,-0.93,-0.59,-1.09,-0.76,-2.39,0.60,1
1.00,-0.74,-0.84,-0.75,-0.97,-0.78,-3.16,0.51,1
1.00,-0.65,-0.96,-0.70,-0.83,-0.77,-3.98,0.46,1
1.00,-0.65,-1.09,-0.57,-0.91,-0.58,-3.14,0.47,1
1.00,-0.57,-0.81,-0.75,-1.03,-0.79,-1.86,0.59,1
1.00,-0.59,-0.84,-0.75,-0.83,-0.64,-3.88,0.46,1
1.00,-0.75,-1.08,-0.60,-0.81,-0.78,-4.39,0.55,1
1.00,-0.63,-1.00,-0.65,-1.16,-0.75,-1.86,0.48,1
1.00,-0.73,-0.85,-0.63,-0.96,-0.59,-1.79,0.51,1
1.00,-0.59,-1.14,-0.71,-1.19,-0.72,-1.33,0.51,1
1.00,-0.73,-0.92,-0.74,-0.92,-0.70,-3.14,0.62,1
1.00,-0.79,-0.91,-0.76,-1.11,-0.55,-0.95,0.55,1
1.00,-0.74,-1.09,-0.71,-0.94,-0.67,-2.70,0.47,1
1.00,-0.72,-1.13,-0.70,-1.00,-0.74,-1.66,0.52,1
1.00,-0.63,-0.84,-0.67,-0.82,-0.68,-4.20,0.56,1
1.00,-0.76,-0.88,-0.65,-1.04,-0.63,-0.90,0.60,1
1.00,-0.74,-1.17,-0.65,-1.06,-0.75,-3.15,0.55,1
1.00,-0.79,-1.06,-0.75,-1.16,-0.76,-2.99,0.55,1
1.00,-0.72,-1.03,-0.71,-0.91,-0.65,-3.18,0.47,1
1.00,-0.58,-1.03,-0.78,-1.15,-0.69,-4.42,0.46,1
1.00,-0.79,-0.96,-0.67,-0.98,-0.73,-3.87,0.45,1
1.00,-0.69,-1.15,-0.69,-1.13,-0.62,-1.86,0.52,1
1.00,-0.72,-0.98,-0.64,-1.13,-0.69,-1.79,0.52,1
1.00,-0.73,-1.06,-0.57,-1.07,-0.67,-2.23,0.61,1
1.00,-0.60,-1.02,-0.58,-0.85,-0.78,-2.86,0.61,1
1.00,-0.73,-1.20,-0.73,-0.98,-0.75,-1.12,0.56,1
1.00,-0.62,-1.00,-0.73,-1.18,-0.62,-2.50,0.52,1
1.00,-0.73,-0.91,-0.68,-1.10,-0.65,-4.11,0.48,1
1.00,-0.73,-0.81,-0.66,-0.81,-0.65,-4.15,0.50,1
1.00,-0.80,-1.03,-0.56,-0.89,-0.58,-4.34,0.47,1
1.00,-0.61,-1.03,-0.76,-1.18,-0.55,-3.81,0.62,1
1.00,-0.72,-1.01,-0.66,-0.83,-0.74,-4.32,0.47,1
1.00,-0.67,-1.01,-0.65,-0.82,-0.73,-2.12,0.48,1
1.00,-0.74,-1.13,-0.61,-0.95,-0.68,-2.40,0.59,1
-1.00,-0.60,-1.06,-0.69,-1.15,-0.64,-1.74,-0.59,2
-1.00,-0.68,-1.03,-0.67,-0.84,-0.77,-1.43,-0.52,2
-1.00,-0.59,-0.91,-0.65,-1.02,-0.70,-3.90,-0.56,2
-1.00,-0.57,-1.19,-0.75,-1.05,-0.76,-2.60,-0.60,2
-1.00,-0.57,-1.15,-0.68,-0.89,-0.71,-4.01,-0.57,2
-1.00,-0.74,-0.87,-0.64,-0.94,-0.63,-1.34,-0.51,2
-1.00,-0.56,-1.04,-0.66,-0.84,-0.78,-4.34,-0.56,2
-1.00,-0.80,-1.19,-0.56,-1.08,-0.71,-3.83,-0.46,2
-1.00,-0.70,-1.09,-0.77,-0.90,-0.55,-2.02,-0.47,2
-1.00,-0.57,-1.17,-0.57,-0.98,-0.71,-3.98,-0.61,2
-1.00,-0.59,-1.13,-0.63,-1.09,-0.67,-4.25,-0.59,2
-1.00,-0.78,-1.11,-0.77,-0.98,-0.57,-3.12,-0.61,2
-1.00,-0.67,-1.04,-0.78,-0.85,-0.57,-3.55,-0.61,2
-1.00,-0.59,-1.14,-0.71,-1.09,-0.64,-1.29,-0.50,2
-1.00,-0.75,-0.91,-0.57,-0.98,-0.78,-1.41,-0.49,2
-1.00,-0.75,-1.02,-0.60,-1.19,-0.65,-1.39,-0.60,2
-1.00,-0.74,-0.80,-0.57,-1.01,-0.64,-3.14,-0.46,2
