Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2
-1.00,-0.52,-0.95,-0.57,-0.91,-0.57,-1.27,-0.46,1,0
-1.00,-0.63,-0.99,-0.58,-0.89,-0.69,-4.42,-0.47,1,0
-1.00,-0.63,-1.02,-0.44,-1.01,-0.78,-3.06,-0.47,1,0
-1.00,-0.71,-1.19,-0.55,-1.03,-0.44,-2.43,-0.60,1,0
-1.00,-0.52,-1.02,-0.43,-1.14,-0.65,-3.35,-0.53,1,0
-1.00,-0.42,-0.88,-0.67,-1.02,-0.56,-3.72,-0.58,1,0
-1.00,-0.72,-0.87,-0.65,-1.04,-0.59,-1.52,-0.58,1,0
-1.00,-0.53,-0.90,-0.74,-1.01,-0.65,-2.86,-0.46,1,0
-1.00,-0.78,-0.92,-0.60,-1.11,-0.45,-3.31,-0.53,1,0
-1.00,-0.47,-1.12,-0.51,-0.95,-0.52,-3.23,-0.52,1,0
-1.00,-0.50,-0.94,-0.44,-1.17,-0.73,-4.23,-0.60,1,0
-1.00,-0.80,-0.99,-0.46,-1.18,-0.77,-1.04,-0.58,1,0
-1.00,-0.46,-0.85,-0.67,-0.99,-0.63,-1.77,-0.51,1,0
-1.00,-0.43,-1.16,-0.60,-0.93,-0.53,-1.19,-0.46,1,0
-1.00,-0.53,-0.86,-0.48,-1.05,-0.51,-2.34,-0.50,1,0
-1.00,-0.47,-1.10,-0.52,-0.89,-0.58,-2.60,-0.62,1,0
-1.00,-0.45,-1.01,-0.70,-0.90,-0.77,-1.19,-0.47,1,0
-1.00,-0.70,-1.03,-0.74,-0.87,-0.50,-1.42,-0.48,1,0
-1.00,-0.76,-1.14,-0.57,-0.88,-0.64,-4.01,-0.55,1,0
-1.00,-0.63,-1.15,-0.52,-0.99,-0.65,-3.44,-0.62,1,0
-1.00,-0.63,-1.06,-0.41,-1.09,-0.59,-4.05,-0.61,1,0
-1.00,-0.65,-1.04,-0.75,-0.89,-0.61,-1.24,-0.51,1,0
-1.00,-0.62,-1.13,-0.67,-1.15,-0.58,-1.14,-0.46,1,0
-1.00,-0.58,-1.17,-0.40,-0.93,-0.45,-2.58,-0.60,1,0
-1.00,-0.61,-1.04,-0.54,-1.12,-0.73,-4.42,-0.48,1,0
-1.00,-0.68,-1.10,-0.61,-1.04,-0.76,-2.34,-0.59,1,0
-1.00,-0.41,-1.16,-0.66,-1.12,-0.62,-4.16,-0.45,1,0
-1.00,-0.45,-1.16,-0.45,-1.12,-0.47,-4.22,-0.51,1,0
-1.00,-0.80,-1.19,-0.62,-0.89,-0.56,-3.17,-0.53,1,0
-1.00,-0.54,-0.91,-0.53,-0.95,-0.77,-0.97,-0.56,1,0
-1.00,-0.72,-0.95,-0.78,-0.91,-0.64,-1.10,-0.57,1,0
-1.00,-0.45,-1.20,-0.54,-1.18,-0.79,-1.20,-0.49,1,0
-1.00,-0.80,-0.90,-0.58,-1.06,-0.48,-1.13,-0.50,1,0
-1.00,-0.47,-1.19,-0.43,-0.99,-0.51,-4.49,-0.46,1,0
-1.00,-0.58,-1.03,-0.64,-0.96,-0.72,-1.75,-0.48,1,0
-1.00,-0.69,-0.98,-0.74,-0.98,-0.76,-1.37,-0.47,1,0
-1.00,-0.41,-0.95,-0.65,-1.13,-0.51,-1.18,-0.57,1,0
-1.00,-0.49,-1.01,-0.44,-1.02,-0.70,-1.75,-0.59,1,0
-1.00,-0.67,-1.20,-0.70,-0.88,-0.52,-1.37,-0.54,1,0
-1.00,-0.63,-0.98,-0.66,-1.00,-0.48,-3.76,-0.47,1,0
-1.00,-0.65,-0.99,-0.52,-1.13,-0.47,-1.39,-0.53,1,0
-1.00,-0.63,-0.85,-0.66,-1.18,-0.47,-1.42,-0.62,1,0
-1.00,-0.62,-0.94,-0.70,-0.97,-0.68,-0.99,-0.61,1,0
-1.00,-0.67,-1.00,-0.46,-1.10,-0.46,-3.97,-0.45,1,0
-1.00,-0.61,-0.95,-0.69,-1.14,-0.47,-3.14,-0.48,1,0
-1.00,-0.70,-0.86,-0.47,-1.17,-0.49,-3.20,-0.46,1,0
-1.00,-0.67,-1.19,-0.73,-1.17,-0.63,-3.93,-0.54,1,0
-1.00,-0.48,-0.88,-0.60,-1.03,-0.71,-1.35,-0.57,1,0
-1.00,-0.60,-0.86,-0.44,-1.12,-0.52,-3.21,-0.51,1,0
-1.00,-0.54,-1.17,-0.40,-0.89,-0.77,-1.27,-0.53,1,0
-1.00,-0.65,-1.17,-0.47,-1.04,-0.54,-1.10,-0.62,1,0
-1.00,-0.41,-0.91,-0.69,-1.09,-0.54,-1.66,-0.62,1,0
-1.00,-0.69,-0.92,-0.40,-1.02,-0.47,-4.40,-0.50,1,0
-1.00,-0.56,-1.05,-0.41,-1.01,-0.66,-3.02,-0.57,1,0
-1.00,-0.80,-1.15,-0.77,-1.04,-0.54,-1.54,-0.59,1,0
-1.00,-0.50,-0.99,-0.64,-0.98,-0.56,-1.03,-0.51,1,0
-1.00,-0.48,-0.97,-0.42,-1.07,-0.44,-3.96,-0.51,1,0
-1.00,-0.42,-0.99,-0.41,-0.98,-0.44,-3.08,-0.54,1,0
-1.00,-0.45,-1.02,-0.73,-1.19,-0.70,-3.19,-0.47,1,0
-1.00,-0.69,-1.04,-0.66,-1.13,-0.79,-2.78,-0.49,1,0
-1.00,-0.53,-1.05,-0.77,-1.04,-0.62,-0.97,-0.57,1,0
-1.00,-0.53,-0.86,-0.46,-0.94,-0.66,-2.20,-0.50,1,0
-1.00,-0.51,-1.02,-0.41,-1.20,-0.74,-3.89,-0.62,1,0
-1.00,-0.58,-1.10,-0.70,-0.91,-0.66,-3.21,-0.50,1,0
-1.00,-0.51,-0.87,-0.78,-0.95,-0.41,-1.17,-0.53,1,0
-1.00,-0.51,-0.89,-0.80,-1.09,-0.64,-2.82,-0.61,1,0
-1.00,-0.50,-1.14,-0.54,-1.11,-0.42,-4.03,-0.52,1,0
-1.00,-0.77,-1.14,-0.55,-1.01,-0.72,-3.23,-0.51,1,0
-1.00,-0.63,-1.06,-0.42,-1.04,-0.47,-3.66,-0.47,1,0
-1.00,-0.61,-1.18,-0.66,-1.01,-0.44,-3.14,-0.47,1,0
-1.00,-0.41,-0.88,-0.78,-0.89,-0.59,-2.83,-0.47,1,0
-1.00,-0.53,-0.90,-0.70,-0.91,-0.60,-2.16,-0.55,1,0
-1.00,-0.66,-1.06,-0.74,-1.06,-0.71,-3.82,-0.49,1,0
-1.00,-0.40,-0.93,-0.71,-1.18,-0.69,-1.52,-0.46,1,0
-1.00,-0.57,-0.85,-0.62,-1.08,-0.67,-3.11,-0.52,1,0
-1.00,-0.40,-0.90,-0.66,-1.12,-0.78,-2.22,-0.56,1,0
-1.00,-0.59,-0.86,-0.49,-0.96,-0.65,-2.43,-0.57,1,0
-1.00,-0.53,-0.94,-0.66,-0.94,-0.59,-2.05,-0.53,1,0
-1.00,-0.56,-0.95,-0.54,-0.97,-0.74,-2.45,-0.57,1,0
-1.00,-0.46,-1.14,-0.57,-1.06,-0.48,-3.36,-0.51,1,0
-1.00,-0.55,-0.92,-0.42,-0.95,-0.43,-3.65,-0.50,1,0
-1.00,-0.68,-1.20,-0.48,-0.97,-0.70,-1.48,-0.60,1,0
-1.00,-0.48,-0.93,-0.62,-1.11,-0.69,-3.65,-0.57,1,0
-1.00,-0.67,-1.01,-0.71,-1.13,-0.79,-2.89,-0.61,1,0
-1.00,-0.76,-0.92,-0.70,-0.89,-0.48,-4.09,-0.59,1,0
-1.00,-0.75,-0.93,-0.54,-1.06,-0.49,-1.96,-0.50,1,0
-1.00,-0.53,-0.95,-0.72,-1.02,-0.76,-1.87,-0.53,1,0
-1.00,-0.41,-1.01,-0.69,-1.00,-0.62,-2.58,-0.56,1,0
-1.00,-0.72,-0.88,-0.75,-0.87,-0.59,-3.42,-0.57,1,0
-1.00,-0.76,-1.11,-0.65,-0.91,-0.58,-1.70,-0.59,1,0
-1.00,-0.69,-1.16,-0.72,-1.01,-0.63,-2.57,-0.59,1,0
-1.00,-0.63,-1.05,-0.67,-0.98,-0.72,-1.01,-0.46,1,0
-1.00,-0.48,-1.08,-0.43,-1.07,-0.41,-2.79,-0.61,1,0
-1.00,-0.78,-0.90,-0.66,-0.88,-0.64,-1.49,-0.49,1,0
-1.00,-0.77,-0.89,-0.58,-0.97,-0.59,-2.82,-0.48,1,0
-1.00,-0.55,-1.12,-0.79,-1.02,-0.62,-3.48,-0.47,1,0
-1.00,-0.77,-1.07,-0.73,-1.19,-0.63,-1.67,-0.53,1,0
-1.00,-0.60,-1.04,-0.61,-1.01,-0.79,-2.77,-0.48,1,0
-1.00,-0.45,-0.88,-0.68,-1.18,-0.63,-3.79,-0.52,1,0
-1.00,-0.66,-0.89,-0.49,-0.86,-0.47,-1.51,-0.46,1,0
-1.00,-0.53,-0.95,-0.65,-0.92,-0.42,-1.00,-0.53,1,0
-1.00,-0.42,-1.10,-0.50,-0.88,-0.40,-2.33,-0.47,1,0
-1.00,-0.51,-1.12,-0.59,-0.96,-0.68,-2.01,-0.47,1,0
-1.00,-0.41,-0.91,-0.57,-0.94,-0.76,-1.91,-0.62,1,0
-1.00,-0.45,-0.85,-0.79,-1.00,-0.70,-3.11,-0.60,1,0
-1.00,-0.69,-1.04,-0.64,-0.91,-0.76,-4.36,-0.61,1,0
-1.00,-0.50,-1.12,-0.70,-1.19,-0.64,-3.60,-0.52,1,0
-1.00,-0.51,-1.17,-0.54,-1.12,-0.57,-1.39,-0.47,1,0
-1.00,-0.74,-1.15,-0.46,-0.92,-0.41,-1.43,-0.46,1,0
-1.00,-0.45,-1.15,-0.44,-0.89,-0.69,-3.51,-0.55,1,0
-1.00,-0.57,-1.04,-0.43,-1.20,-0.72,-1.59,-0.61,1,0
-1.00,-0.56,-0.90,-0.43,-1.10,-0.59,-0.92,-0.54,1,0
-1.00,-0.71,-1.13,-0.73,-0.94,-0.60,-4.35,-0.50,1,0
-1.00,-0.55,-1.13,-0.58,-0.92,-0.54,-3.85,-0.50,1,0
-1.00,-0.46,-0.96,-0.41,-1.19,-0.58,-2.79,-0.59,1,0
-1.00,-0.68,-1.13,-0.72,-1.00,-0.46,-2.67,-0.62,1,0
-1.00,-0.56,-1.19,-0.45,-1.05,-0.62,-4.19,-0.47,1,0
-1.00,-0.41,-0.85,-0.68,-1.11,-0.69,-1.56,-0.54,1,0
-1.00,-0.62,-1.16,-0.54,-0.96,-0.61,-3.23,-0.62,1,0
-1.00,-0.74,-1.05,-0.74,-0.87,-0.57,-1.26,-0.57,1,0
-1.00,-0.73,-1.14,-0.78,-1.00,-0.76,-3.56,-0.54,1,0
-1.00,-0.45,-0.86,-0.80,-0.85,-0.62,-3.26,-0.48,1,0
-1.00,-0.46,-1.19,-0.67,-0.97,-0.60,-3.45,-0.58,1,0
-1.00,-0.54,-1.20,-0.52,-1.16,-0.46,-3.29,-0.46,1,0
-1.00,-0.46,-0.88,-0.41,-1.12,-0.50,-2.02,-0.58,1,0
-1.00,-0.46,-1.11,-0.42,-1.19,-0.75,-3.18,-0.46,1,0
-1.00,-0.57,-1.11,-0.63,-0.87,-0.51,-2.41,-0.51,1,0
-1.00,-0.80,-1.04,-0.43,-1.07,-0.68,-3.53,-0.45,1,0
-1.00,-0.63,-1.20,-0.57,-1.01,-0.62,-4.10,-0.62,1,0
-1.00,-0.75,-1.00,-0.60,-1.08,-0.46,-1.57,-0.51,1,0
-1.00,-0.79,-1.15,-0.64,-1.10,-0.57,-2.82,-0.47,1,0
-1.00,-0.78,-0.98,-0.62,-1.10,-0.50,-1.86,-0.48,1,0
-1.00,-0.64,-0.92,-0.51,-1.05,-0.70,-2.25,-0.58,1,0
-1.00,-0.78,-0.97,-0.73,-1.03,-0.68,-1.20,-0.58,1,0
-1.00,-0.73,-0.86,-0.42,-0.97,-0.52,-2.22,-0.56,1,0
-1.00,-0.48,-0.91,-0.70,-1.12,-0.72,-1.95,-0.62,1,0
-1.00,-0.72,-1.12,-0.45,-0.92,-0.48,-3.50,-0.59,1,0
-1.00,-0.55,-1.15,-0.51,-1.20,-0.58,-3.67,-0.50,1,0
-1.00,-0.61,-0.93,-0.68,-1.11,-0.48,-2.90,-0.55,1,0
-1.00,-0.73,-1.07,-0.71,-1.10,-0.53,-2.96,-0.60,1,0
-1.00,-0.70,-0.96,-0.67,-1.09,-0.55,-3.49,-0.60,1,0
-1.00,-0.48,-1.09,-0.78,-1.01,-0.57,-3.89,-0.58,1,0
-1.00,-0.58,-1.08,-0.70,-1.14,-0.78,-2.02,-0.52,1,0
-1.00,-0.57,-0.87,-0.74,-0.88,-0.72,-4.21,-0.56,1,0
-1.00,-0.77,-1.12,-0.42,-0.99,-0.41,-2.53,-0.60,1,0
-1.00,-0.61,-1.11,-0.71,-1.17,-0.68,-2.54,-0.45,1,0
-1.00,-0.75,-0.85,-0.54,-0.85,-0.55,-2.05,-0.55,1,0
-1.00,-0.65,-1.18,-0.46,-0.99,-0.71,-1.55,-0.46,1,0
-1.00,-0.49,-0.91,-0.41,-0.87,-0.43,-2.07,-0.54,1,0
-1.00,-0.67,-1.05,-0.52,-1.02,-0.46,-3.32,-0.52,1,0
-1.00,-0.50,-1.09,-0.78,-1.07,-0.67,-0.81,-0.46,1,0
-1.00,-0.54,-0.90,-0.72,-1.12,-0.76,-3.50,-0.46,1,0
-1.00,-0.60,-1.07,-0.56,-0.94,-0.48,-1.66,-0.59,1,0
-1.00,-0.56,-1.02,-0.73,-1.19,-0.79,-1.30,-0.52,1,0
-1.00,-0.47,-1.00,-0.55,-1.15,-0.42,-4.00,-0.58,1,0
-1.00,-0.45,-1.02,-0.55,-1.04,-0.57,-1.73,-0.60,1,0
-1.00,-0.51,-0.92,-0.69,-0.92,-0.64,-2.44,-0.61,1,0
-1.00,-0.70,-0.98,-0.60,-1.00,-0.56,-0.83,-0.61,1,0
-1.00,-0.69,-0.86,-0.79,-1.14,-0.46,-2.05,-0.47,1,0
-1.00,-0.62,-1.15,-0.74,-0.94,-0.47,-2.03,-0.48,1,0
-1.00,-0.65,-1.19,-0.52,-1.05,-0.79,-2.94,-0.51,1,0
-1.00,-0.61,-1.08,-0.72,-1.10,-0.66,-3.70,-0.58,1,0
-1.00,-0.77,-1.04,-0.72,-0.89,-0.73,-1.12,-0.52,1,0
-1.00,-0.49,-0.91,-0.74,-1.02,-0.57,-2.03,-0.46,1,0
