Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2,y3
1.00,-0.67,-1.03,-0.70,-0.87,-0.67,-3.75,0.46,1,0,0
1.00,-0.72,-0.90,-0.74,-0.90,-0.69,-4.29,0.50,1,0,0
1.00,-0.60,-0.92,-0.61,-1.19,-0.64,-3.24,0.50,1,0,0
1.00,-0.74,-1.18,-0.73,-1.09,-0.63,-4.48,0.51,1,0,0
1.00,-0.60,-1.09,-0.57,-0.89,-0.72,-2.76,0.53,1,0,0
1.00,-0.66,-1.00,-0.69,-0.84,-0.76,-2.67,0.47,1,0,0
1.00,-0.69,-1.12,-0.62,-1.01,-0.65,-2.92,0.48,1,0,0
1.00,-0.69,-1.08,-0.78,-1.02,-0.74,-2.22,0.52,1,0,0
1.00,-0.58,-1.07,-0.63,-1.00,-0.63,-2.02,0.48,1,0,0
1.00,-0.80,-1.20,-0.69,-1.06,-0.59,-3.47,0.48,1,0,0
1.00,-0.57,-1.13,-0.58,-0.88,-0.66,-2.73,0.53,1,0,0
1.00,-0.57,-0.84,-0.64,-0.94,-0.77,-3.92,0.52,1,0,0
1.00,-0.65,-1.08,-0.77,-0.81,-0.61,-3.66,0.60,1,0,0
1.00,-0.79,-1.00,-0.79,-0.84,-0.63,-2.44,0.57,1,0,0
1.00,-0.59,-1.19,-0.66,-1.14,-0.79,-1.13,0.58,1,0,0
1.00,-0.72,-1.04,-0.64,-1.09,-0.62,-1.06,0.62,1,0,0
1.00,-0.60,-0.88,-0.57,-1.02,-0.60,-2.44,0.51,1,0,0
1.00,-0.74,-0.98,-0.70,-1.12,-0.74,-3.20,0.46,1,0,0
1.00,-0.55,-1.06,-0.56,-1.00,-0.75,-2.73,0.55,1,0,0
1.00,-0.55,-0.98,-0.56,-1.16,-0.78,-4.03,0.49,1,0,0
1.00,-0.67,-1.10,-0.70,-0.89,-0.76,-4.07,0.49,1,0,0
1.00,-0.63,-1.01,-0.64,-0.98,-0.76,-3.27,0.61,1,0,0
1.00,-0.61,-1.09,-0.73,-0.85,-0.63,-2.72,0.47,1,0,0
1.00,-0.62,-1.07,-0.59,-1.09,-0.69,-3.23,0.55,1,0,0
1.00,-0.66,-1.16,-0.61,-1.12,-0.77,-3.57,0.56,1,0,0
1.00,-0.63,-1.07,-0.58,-1.11,-0.75,-2.80,0.56,1,0,0
1.00,-0.68,-1.01,-0.60,-0.98,-0.65,-1.60,0.58,1,0,0
1.00,-0.61,-0.90,-0.60,-1.12,-0.59,-4.41,0.51,1,0,0
1.00,-0.77,-1.04,-0.65,-1.14,-0.71,-3.40,0.49,1,0,0
1.00,-0.63,-0.84,-0.69,-1.13,-0.73,-1.21,0.60,1,0,0
1.00,-0.70,-1.06,-0.77,-0.83,-0.56,-0.94,0.49,1,0,0
1.00,-0.79,-0.84,-0.58,-0.94,-0.72,-2.22,0.59,1,0,0
1.00,-0.63,-0.99,-0.61,-1.10,-0.71,-4.45,0.50,1,0,0
1.00,-0.56,-1.11,-0.69,-0.88,-0.74,-3.53,0.47,1,0,0
1.00,-0.58,-0.96,-0.59,-0.82,-0.61,-1.29,0.52,1,0,0
1.00,-0.60,-1.06,-0.68,-0.95,-0.56,-3.34,0.49,1,0,0
1.00,-0.60,-0.89,-0.69,-1.19,-0.67,-1.45,0.59,1,0,0
1.00,-0.55,-1.10,-0.71,-0.89,-0.74,-0.83,0.50,1,0,0
1.00,-0.60,-0.83,-0.72,-1.04,-0.61,-0.88,0.57,1,0,0
1.00,-0.60,-0.98,-0.64,-0.94,-0.66,-2.56,0.54,1,0,0
1.00,-0.56,-0.89,-0.75,-0.83,-0.74,-3.05,0.58,1,0,0
1.00,-0.64,-1.05,-0.56,-0.95,-0.71,-1.93,0.50,1,0,0
1.00,-0.73,-1.08,-0.61,-1.17,-0.59,-4.24,0.56,1,0,0
1.00,-0.68,-1.17,-0.63,-1.00,-0.74,-3.92,0.50,1,0,0
1.00,-0.66,-1.15,-0.72,-0.97,-0.65,-1.89,0.53,1,0,0
1.00,-0.67,-1.13,-0.65,-1.14,-0.70,-3.49,0.52,1,0,0
1.00,-0.63,-1.19,-0.59,-0.88,-0.73,-3.71,0.54,1,0,0
1.00,-0.74,-0.83,-0.67,-1.04,-0.72,-1.21,0.62,1,0,0
1.00,-0.74,-0.98,-0.69,-0.88,-0.73,-3.81,0.49,1,0,0
1.00,-0.69,-0.92,-0.62,-0.94,-0.72,-2.93,0.52,1,0,0
1.00,-0.57,-1.14,-0.60,-0.92,-0.79,-2.28,0.55,1,0,0
1.00,-0.70,-0.90,-0.65,-1.03,-0.71,-3.55,0.59,1,0,0
1.00,-0.67,-0.97,-0.67,-1.08,-0.70,-2.93,0.56,1,0,0
1.00,-0.66,-1.01,-0.73,-0.82,-0.58,-2.42,0.46,1,0,0
1.00,-0.60,-0.97,-0.55,-1.18,-0.70,-3.06,0.62,1,0,0
1.00,-0.58,-0.92,-0.60,-0.81,-0.76,-2.73,0.47,1,0,0
1.00,-0.70,-0.95,-0.77,-1.02,-0.63,-2.26,0.51,1,0,0
1.00,-0.56,-1.13,-0.71,-1.14,-0.62,-3.61,0.52,1,0,0
1.00,-0.71,-0.83,-0.76,-0.99,-0.71,-2.00,0.49,1,0,0
1.00,-0.63,-1.02,-0.68,-1.20,-0.78,-3.73,0.61,1,0,0
1.00,-0.65,-0.88,-0.78,-1.05,-0.74,-3.57,0.48,1,0,0
1.00,-0.59,-0.81,-0.57,-1.01,-0.65,-3.88,0.53,1,0,0
1.00,-0.65,-0.94,-0.63,-0.88,-0.70,-2.13,0.61,1,0,0
1.00,-0.75,-1.18,-0.69,-0.89,-0.55,-2.95,0.59,1,0,0
1.00,-0.56,-0.88,-0.77,-1.14,-0.79,-2.18,0.62,1,0,0
1.00,-0.69,-1.16,-0.66,-0.94,-0.69,-1.56,0.60,1,0,0
1.00,-0.61,-1.04,-0.62,-1.15,-0.69,-4.06,0.46,1,0,0
1.00,-0.56,-0.97,-0.56,-1.06,-0.78,-1.88,0.50,1,0,0
1.00,-0.70,-0.89,-0.68,-0.80,-0.76,-0.98,0.61,1,0,0
1.00,-0.56,-1.16,-0.68,-0.97,-0.70,-3.40,0.58,1,0,0
1.00,-0.78,-0.99,-0.58,-1.01,-0.61,-3.76,0.53,1,0,0
1.00,-0.65,-0.87,-0.67,-0.87,-0.58,-4.27,0.49,1,0,0
1.00,-0.74,-1.03,-0.59,-1.14,-0.76,-1.70,0.46,1,0,0
1.00,-0.66,-1.04,-0.78,-1.07,-0.79,-2.63,0.57,1,0,0
1.00,-0.67,-0.84,-0.63,-0.97,-0.63,-1.25,0.59,1,0,0
1.00,-0.78,-0.92,-0.67,-1.19,-0.79,-4.01,0.46,1,0,0
1.00,-0.72,-0.97,-0.61,-1.07,-0.75,-1.96,0.58,1,0,0
1.00,-0.64,-0.96,-0.66,-0.89,-0.56,-1.07,0.62,1,0,0
1.00,-0.61,-0.93,-0.63,-0.88,-0.70,-2.75,0.62,1,0,0
1.00,-0.61,-0.97,-0.64,-1.04,-0.77,-2.68,0.46,1,0,0
1.00,-0.72,-0.96,-0.77,-0.98,-0.64,-2.22,0.60,1,0,0
1.00,-0.69,-0.99,-0.68,-0.86,-0.68,-2.39,0.46,1,0,0
1.00,-0.71,-0.86,-0.72,-1.07,-0.56,-3.43,0.60,1,0,0
1.00,-0.69,-0.93,-0.72,-0.99,-0.70,-3.32,0.47,1,0,0
1.00,-0.60,-1.02,-0.60,-1.11,-0.78,-3.65,0.55,1,0,0
1.00,-0.63,-1.12,-0.61,-1.00,-0.58,-1.71,0.48,1,0,0
1.00,-0.69,-0.83,-0.74,-0.98,-0.74,-0.92,0.59,1,0,0
1.00,-0.61,-0.86,-0.72,-1.08,-0.62,-4.23,0.56,1,0,0
1.00,-0.71,-1.18,-0.79,-1.15,-0.69,-4.14,0.62,1,0,0
1.00,-0.71,-0.93,-0.75,-0.82,-0.66,-3.30,0.52,1,0,0
1.00,-0.58,-0.98,-0.77,-0.86,-0.59,-4.26,0.47,1,0,0
1.00,-0.70,-1.12,-0.57,-0.90,-0.59,-2.42,0.61,1,0,0
1.00,-0.73,-0.93,-0.72,-1.13,-0.68,-1.51,0.57,1,0,0
1.00,-0.56,-0.90,-0.74,-0.86,-0.79,-4.10,0.57,1,0,0
1.00,-0.75,-0.91,-0.70,-0.87,-0.63,-2.00,0.58,1,0,0
1.00,-0.59,-1.00,-0.71,-1.01,-0.68,-1.77,0.49,1,0,0
1.00,-0.59,-1.12,-0.68,-1.17,-0.78,-4.37,0.49,1,0,0
1.00,-0.72,-1.06,-0.60,-1.12,-0.55,-2.81,0.50,1,0,0
1.00,-0.74,-1.01,-0.60,-0.91,-0.56,-3.37,0.58,1,0,0
1.00,-0.72,-1.10,-0.61,-1.03,-0.78,-3.88,0.50,1,0,0
-1.00,-0.70,-1.13,-0.57,-0.91,-0.71,-3.98,-0.52,0,1,0
-1.00,-0.75,-1.06,-0.75,-1.01,-0.61,-1.17,-0.62,0,1,0
-1.00,-0.65,-1.16,-0.64,-1.14,-0.61,-1.43,-0.51,0,1,0
-1.00,-0.71,-0.92,-0.75,-0.84,-0.57,-1.05,-0.45,0,1,0
-1.00,-0.67,-1.06,-0.62,-0.80,-0.57,-2.33,-0.48,0,1,0
-1.00,-0.72,-1.03,-0.74,-0.88,-0.79,-1.49,-0.59,0,1,0
-1.00,-0.66,-0.98,-0.64,-1.08,-0.57,-4.40,-0.52,0,1,0
-1.00,-0.64,-0.93,-0.76,-1.00,-0.61,-4.22,-0.58,0,1,0
-1.00,-0.57,-0.94,-0.73,-0.92,-0.67,-2.55,-0.52,0,1,0
-1.00,-0.74,-1.00,-0.61,-0.91,-0.70,-4.49,-0.45,0,1,0
-1.00,-0.76,-0.93,-0.60,-1.15,-0.79,-3.93,-0.47,0,1,0
-1.00,-0.61,-1.15,-0.59,-0.86,-0.79,-3.08,-0.58,0,1,0
-1.00,-0.75,-0.94,-0.75,-0.89,-0.60,-1.56,-0.54,0,1,0
-1.00,-0.68,-1.07,-0.57,-1.14,-0.69,-1.74,-0.48,0,1,0
-1.00,-0.61,-1.09,-0.71,-1.18,-0.78,-0.83,-0.60,0,1,0
-1.00,-0.57,-1.17,-0.62,-0.91,-0.60,-3.04,-0.61,0,1,0
-1.00,-0.80,-1.03,-0.74,-0.90,-0.73,-4.26,-0.61,0,1,0
-1.00,-0.56,-0.84,-0.78,-0.92,-0.76,-2.02,-0.52,0,1,0
-1.00,-0.59,-0.82,-0.64,-1.10,-0.56,-4.37,-0.49,0,1,0
-1.00,-0.77,-0.91,-0.59,-1.15,-0.72,-4.00,-0.48,0,1,0
-1.00,-0.80,-1.18,-0.63,-1.09,-0.59,-4.39,-0.49,0,1,0
-1.00,-0.80,-0.87,-0.63,-0.91,-0.68,-3.34,-0.52,0,1,0
-1.00,-0.71,-1.06,-0.73,-1.07,-0.79,-1.30,-0.51,0,1,0
-1.00,-0.56,-0.92,-0.78,-1.14,-0.60,-1.34,-0.47,0,1,0
-1.00,-0.58,-0.85,-0.59,-1.13,-0.71,-3.33,-0.60,0,1,0
-1.00,-0.70,-1.15,-0.71,-0.84,-0.61,-1.35,-0.48,0,1,0
-1.00,-0.68,-0.86,-0.79,-0.93,-0.78,-3.71,-0.53,0,1,0
-1.00,-0.64,-1.04,-0.62,-0.88,-0.58,-2.57,-0.52,0,1,0
-1.00,-0.74,-1.17,-0.75,-1.17,-0.78,-3.45,-0.50,0,1,0
-1.00,-0.63,-0.84,-0.61,-0.98,-0.58,-1.76,-0.48,0,1,0
-1.00,-0.63,-0.87,-0.75,-1.13,-0.64,-1.01,-0.60,0,1,0
-1.00,-0.58,-0.90,-0.78,-1.17,-0.77,-2.63,-0.49,0,1,0
-1.00,-0.74,-0.84,-0.69,-0.86,-0.78,-4.46,-0.60,0,1,0
-1.00,-0.69,-0.89,-0.60,-0.85,-0.59,-2.65,-0.51,0,1,0
-1.00,-0.55,-0.88,-0.55,-1.06,-0.79,-1.00,-0.48,0,1,0
-1.00,-0.60,-0.84,-0.55,-1.08,-0.72,-0.87,-0.58,0,1,0
-1.00,-0.77,-0.96,-0.66,-1.18,-0.55,-2.66,-0.62,0,1,0
-1.00,-0.67,-1.11,-0.63,-1.18,-0.56,-1.07,-0.46,0,1,0
-1.00,-0.63,-1.06,-0.59,-1.18,-0.72,-4.48,-0.61,0,1,0
-1.00,-0.72,-0.82,-0.65,-0.92,-0.63,-3.65,-0.60,0,1,0
-1.00,-0.58,-1.17,-0.61,-0.83,-0.72,-2.20,-0.57,0,1,0
-1.00,-0.55,-0.83,-0.76,-1.11,-0.75,-3.44,-0.46,0,1,0
-1.00,-0.67,-1.11,-0.55,-1.10,-0.69,-1.79,-0.54,0,1,0
-1.00,-0.75,-1.19,-0.61,-1.04,-0.56,-1.10,-0.58,0,1,0
-1.00,-0.68,-1.16,-0.73,-0.98,-0.56,-3.02,-0.59,0,1,0
-1.00,-0.70,-0.98,-0.64,-1.05,-0.70,-0.80,-0.52,0,1,0
