Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2
-1.00,-0.46,-1.02,-0.54,-1.06,-0.60,-1.88,-0.54,1,0
-1.00,-0.64,-1.00,-0.73,-0.86,-0.58,-3.36,-0.60,1,0
-1.00,-0.45,-0.93,-0.59,-0.89,-0.74,-1.83,-0.53,1,0
-1.00,-0.74,-0.91,-0.53,-1.00,-0.76,-4.44,-0.50,1,0
-1.00,-0.62,-0.98,-0.64,-1.20,-0.51,-2.95,-0.56,1,0
-1.00,-0.69,-1.12,-0.55,-1.05,-0.79,-2.87,-0.49,1,0
-1.00,-0.79,-1.13,-0.65,-1.15,-0.66,-2.25,-0.55,1,0
-1.00,-0.54,-0.91,-0.58,-1.01,-0.50,-4.02,-0.57,1,0
-1.00,-0.79,-0.92,-0.72,-0.89,-0.73,-1.98,-0.52,1,0
-1.00,-0.61,-0.86,-0.66,-1.05,-0.56,-1.37,-0.52,1,0
-1.00,-0.66,-1.18,-0.55,-1.11,-0.63,-2.80,-0.56,1,0
-1.00,-0.61,-1.04,-0.74,-1.17,-0.40,-2.92,-0.51,1,0
-1.00,-0.55,-1.12,-0.73,-0.99,-0.77,-1.85,-0.54,1,0
-1.00,-0.47,-0.90,-0.51,-1.12,-0.48,-3.89,-0.49,1,0
-1.00,-0.47,-0.93,-0.42,-0.98,-0.78,-4.20,-0.51,1,0
-1.00,-0.48,-1.08,-0.69,-1.06,-0.45,-2.95,-0.60,1,0
-1.00,-0.50,-1.09,-0.57,-1.02,-0.65,-1.73,-0.55,1,0
-1.00,-0.48,-0.92,-0.61,-1.15,-0.49,-3.31,-0.60,1,0
-1.00,-0.62,-0.94,-0.57,-0.93,-0.40,-2.53,-0.56,1,0
-1.00,-0.63,-1.08,-0.66,-1.08,-0.47,-1.87,-0.47,1,0
-1.00,-0.60,-0.85,-0.55,-0.97,-0.55,-1.73,-0.60,1,0
-1.00,-0.58,-0.91,-0.46,-1.08,-0.76,-2.63,-0.45,1,0
-1.00,-0.63,-1.08,-0.79,-0.91,-0.55,-0.84,-0.47,1,0
-1.00,-0.48,-1.01,-0.44,-1.11,-0.57,-2.44,-0.57,1,0
-1.00,-0.66,-0.96,-0.72,-1.09,-0.64,-4.28,-0.45,1,0
-1.00,-0.56,-0.96,-0.47,-1.18,-0.61,-3.85,-0.62,1,0
-1.00,-0.72,-0.96,-0.51,-0.93,-0.49,-3.53,-0.45,1,0
-1.00,-0.66,-0.85,-0.77,-0.97,-0.54,-1.81,-0.51,1,0
-1.00,-0.79,-0.99,-0.68,-1.15,-0.51,-3.13,-0.46,1,0
-1.00,-0.54,-1.07,-0.65,-0.96,-0.75,-1.33,-0.48,1,0
-1.00,-0.75,-1.05,-0.49,-0.89,-0.79,-3.37,-0.58,1,0
-1.00,-0.59,-0.89,-0.45,-0.91,-0.80,-2.12,-0.46,1,0
-1.00,-0.52,-0.96,-0.79,-0.98,-0.43,-4.36,-0.54,1,0
-1.00,-0.47,-1.00,-0.59,-1.18,-0.64,-1.33,-0.55,1,0
-1.00,-0.74,-0.93,-0.43,-1.09,-0.75,-1.80,-0.49,1,0
-1.00,-0.40,-0.89,-0.50,-0.85,-0.65,-2.35,-0.60,1,0
-1.00,-0.48,-0.93,-0.53,-1.01,-0.75,-1.38,-0.53,1,0
-1.00,-0.61,-1.12,-0.57,-1.11,-0.53,-3.21,-0.49,1,0
-1.00,-0.73,-0.90,-0.60,-1.14,-0.78,-3.88,-0.50,1,0
-1.00,-0.65,-1.19,-0.59,-1.04,-0.59,-1.60,-0.47,1,0
-1.00,-0.51,-1.14,-0.51,-1.04,-0.66,-4.37,-0.52,1,0
-1.00,-0.54,-1.07,-0.46,-0.99,-0.52,-2.58,-0.58,1,0
-1.00,-0.47,-0.86,-0.77,-0.86,-0.46,-3.31,-0.53,1,0
-1.00,-0.79,-0.97,-0.68,-1.20,-0.40,-0.91,-0.48,1,0
-1.00,-0.76,-1.15,-0.79,-0.97,-0.68,-4.38,-0.51,1,0
-1.00,-0.54,-1.15,-0.53,-0.94,-0.76,-2.42,-0.60,1,0
-1.00,-0.59,-1.13,-0.56,-0.97,-0.45,-2.19,-0.57,1,0
-1.00,-0.58,-0.93,-0.45,-1.19,-0.65,-2.25,-0.52,1,0
-1.00,-0.75,-1.04,-0.54,-1.16,-0.71,-4.16,-0.56,1,0
-1.00,-0.43,-1.15,-0.42,-1.07,-0.65,-3.06,-0.48,1,0
