Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2,y3
-1.00,-0.60,-0.93,-0.58,-1.10,-0.46,-2.92,-0.55,1,0,0
-1.00,-0.77,-0.88,-0.64,-0.95,-0.62,-3.52,-0.56,1,0,0
-1.00,-0.45,-0.94,-0.73,-1.20,-0.75,-2.59,-0.48,1,0,0
-1.00,-0.67,-1.10,-0.62,-1.02,-0.49,-1.53,-0.46,1,0,0
-1.00,-0.63,-1.08,-0.73,-0.91,-0.50,-1.81,-0.61,1,0,0
-1.00,-0.66,-1.12,-0.43,-0.87,-0.64,-3.46,-0.48,1,0,0
-1.00,-0.57,-1.13,-0.54,-1.03,-0.80,-1.51,-0.54,1,0,0
-1.00,-0.67,-1.18,-0.63,-1.02,-0.47,-3.14,-0.47,1,0,0
-1.00,-0.47,-1.04,-0.55,-1.18,-0.60,-3.10,-0.53,1,0,0
-1.00,-0.75,-0.94,-0.45,-0.95,-0.76,-4.47,-0.51,1,0,0
-1.00,-0.55,-1.08,-0.52,-0.89,-0.53,-2.58,-0.58,1,0,0
-1.00,-0.70,-0.93,-0.74,-0.97,-0.65,-3.80,-0.54,1,0,0
-1.00,-0.44,-1.01,-0.48,-0.87,-0.69,-2.67,-0.61,1,0,0
-1.00,-0.48,-0.99,-0.68,-0.96,-0.64,-1.44,-0.52,1,0,0
-1.00,-0.61,-0.95,-0.52,-1.09,-0.59,-1.82,-0.49,1,0,0
-1.00,-0.74,-0.96,-0.62,-0.87,-0.71,-4.01,-0.54,1,0,0
-1.00,-0.63,-0.97,-0.41,-0.92,-0.43,-2.81,-0.56,1,0,0
-1.00,-0.68,-0.90,-0.61,-0.92,-0.71,-3.43,-0.57,1,0,0
-1.00,-0.72,-1.09,-0.50,-0.90,-0.65,-3.64,-0.45,1,0,0
-1.00,-0.79,-0.98,-0.62,-1.02,-0.63,-2.14,-0.56,1,0,0
