Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2,y3,y4
-1.00,-0.60,-1.03,-0.68,-1.08,-0.69,-3.54,-0.46,1,0,0,0
-1.00,-0.78,-1.18,-0.50,-0.89,-0.60,-2.37,-0.50,1,0,0,0
-1.00,-0.80,-1.13,-0.41,-0.96,-0.67,-3.37,-0.54,1,0,0,0
-1.00,-0.59,-1.05,-0.69,-0.97,-0.45,-3.24,-0.52,1,0,0,0
-1.00,-0.63,-1.03,-0.75,-1.15,-0.64,-2.05,-0.47,1,0,0,0
-1.00,-0.59,-1.04,-0.42,-0.90,-0.48,-1.32,-0.49,1,0,0,0
-1.00,-0.61,-0.93,-0.57,-1.05,-0.45,-3.67,-0.59,1,0,0,0
-1.00,-0.40,-1.08,-0.58,-1.19,-0.51,-4.49,-0.55,1,0,0,0
-1.00,-0.51,-1.12,-0.71,-1.05,-0.56,-3.54,-0.49,1,0,0,0
-1.00,-0.74,-0.95,-0.66,-0.99,-0.79,-4.33,-0.52,1,0,0,0
-1.00,-0.76,-0.86,-0.67,-0.96,-0.64,-3.76,-0.47,1,0,0,0
-1.00,-0.73,-0.92,-0.69,-1.00,-0.76,-1.25,-0.56,1,0,0,0
-1.00,-0.63,-0.96,-0.76,-0.98,-0.71,-2.11,-0.61,1,0,0,0
-1.00,-0.54,-1.05,-0.66,-1.16,-0.72,-3.03,-0.52,1,0,0,0
-1.00,-0.69,-1.11,-0.72,-0.90,-0.79,-1.76,-0.59,1,0,0,0
-1.00,-0.45,-0.90,-0.71,-1.15,-0.71,-3.63,-0.47,1,0,0,0
-1.00,-0.72,-1.00,-0.52,-0.92,-0.40,-1.70,-0.59,1,0,0,0
-1.00,-0.57,-1.05,-0.63,-1.02,-0.79,-1.11,-0.62,1,0,0,0
-1.00,-0.49,-1.05,-0.72,-1.04,-0.70,-1.90,-0.57,1,0,0,0
-1.00,-0.77,-1.14,-0.80,-0.88,-0.41,-1.41,-0.62,1,0,0,0
-1.00,-0.74,-0.99,-0.61,-0.98,-0.45,-1.84,-0.60,1,0,0,0
-1.00,-0.61,-1.00,-0.68,-0.92,-0.61,-1.96,-0.49,1,0,0,0
-1.00,-0.46,-1.05,-0.42,-1.18,-0.64,-2.49,-0.55,1,0,0,0
-1.00,-0.47,-1.14,-0.56,-0.89,-0.41,-2.68,-0.60,1,0,0,0
-1.00,-0.62,-1.01,-0.43,-0.92,-0.78,-2.15,-0.57,1,0,0,0
-1.00,-0.52,-1.05,-0.56,-1.05,-0.73,-3.12,-0.58,1,0,0,0
-1.00,-0.66,-1.14,-0.63,-0.90,-0.63,-3.15,-0.61,1,0,0,0
