Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2,y3,y4
-1.00,-0.69,-0.95,-0.69,-1.02,-0.43,-4.32,-0.50,1,0,0,0
-1.00,-0.66,-1.07,-0.66,-1.06,-0.54,-1.23,-0.60,1,0,0,0
-1.00,-0.68,-0.95,-0.62,-0.86,-0.43,-2.12,-0.52,1,0,0,0
-1.00,-0.67,-0.98,-0.68,-1.04,-0.45,-3.52,-0.57,1,0,0,0
-1.00,-0.66,-1.14,-0.49,-1.06,-0.62,-3.56,-0.54,1,0,0,0
-1.00,-0.46,-1.03,-0.79,-0.93,-0.40,-3.88,-0.56,1,0,0,0
-1.00,-0.64,-0.96,-0.56,-1.14,-0.47,-2.98,-0.55,1,0,0,0
-1.00,-0.48,-1.15,-0.68,-0.98,-0.58,-2.07,-0.46,1,0,0,0
-1.00,-0.61,-1.05,-0.66,-1.20,-0.65,-1.60,-0.47,1,0,0,0
-1.00,-0.43,-1.08,-0.57,-0.93,-0.49,-1.59,-0.57,1,0,0,0
-1.00,-0.55,-1.16,-0.52,-0.96,-0.48,-1.89,-0.48,1,0,0,0
-1.00,-0.40,-0.99,-0.64,-0.98,-0.73,-0.84,-0.53,1,0,0,0
-1.00,-0.61,-1.09,-0.70,-0.92,-0.50,-3.67,-0.49,1,0,0,0
-1.00,-0.74,-1.19,-0.44,-0.91,-0.45,-3.76,-0.59,1,0,0,0
-1.00,-0.58,-0.97,-0.74,-0.92,-0.51,-2.98,-0.58,1,0,0,0
-1.00,-0.59,-1.07,-0.49,-1.06,-0.62,-2.32,-0.62,1,0,0,0
-1.00,-0.64,-0.87,-0.44,-1.05,-0.64,-1.13,-0.62,1,0,0,0
-1.00,-0.72,-0.91,-0.58,-0.95,-0.40,-2.52,-0.59,1,0,0,0
-1.00,-0.57,-0.97,-0.52,-0.94,-0.64,-2.26,-0.47,1,0,0,0
-1.00,-0.62,-1.13,-0.77,-0.85,-0.42,-1.99,-0.51,1,0,0,0
-1.00,-0.68,-1.17,-0.53,-1.20,-0.68,-2.49,-0.58,1,0,0,0
-1.00,-0.59,-0.87,-0.77,-0.96,-0.56,-2.35,-0.54,1,0,0,0
-1.00,-0.59,-0.98,-0.43,-0.99,-0.74,-2.90,-0.47,1,0,0,0
-1.00,-0.54,-1.06,-0.62,-0.96,-0.48,-0.97,-0.46,1,0,0,0
-1.00,-0.69,-1.04,-0.52,-0.95,-0.79,-1.54,-0.55,1,0,0,0
