Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2,y3,y4
-1.00,-0.49,-1.09,-0.58,-0.87,-0.65,-2.35,-0.57,1,0,0,0
-1.00,-0.45,-0.91,-0.46,-0.90,-0.73,-1.03,-0.60,1,0,0,0
-1.00,-0.80,-1.18,-0.54,-1.08,-0.53,-1.97,-0.55,1,0,0,0
-1.00,-0.41,-1.15,-0.60,-0.96,-0.48,-4.25,-0.61,1,0,0,0
-1.00,-0.56,-0.93,-0.73,-1.09,-0.74,-1.62,-0.49,1,0,0,0
-1.00,-0.47,-0.90,-0.48,-0.94,-0.40,-2.68,-0.49,1,0,0,0
-1.00,-0.67,-0.86,-0.40,-0.92,-0.42,-2.75,-0.48,1,0,0,0
-1.00,-0.75,-0.97,-0.72,-1.10,-0.77,-1.00,-0.56,1,0,0,0
-1.00,-0.65,-0.95,-0.80,-0.89,-0.48,-3.80,-0.47,1,0,0,0
-1.00,-0.78,-0.90,-0.79,-1.04,-0.75,-2.82,-0.52,1,0,0,0
-1.00,-0.57,-1.07,-0.70,-0.86,-0.48,-3.76,-0.52,1,0,0,0
-1.00,-0.42,-0.94,-0.74,-1.07,-0.69,-1.43,-0.51,1,0,0,0
-1.00,-0.70,-0.94,-0.55,-1.13,-0.45,-3.60,-0.60,1,0,0,0
-1.00,-0.67,-0.94,-0.79,-1.18,-0.61,-1.63,-0.52,1,0,0,0
-1.00,-0.69,-0.97,-0.53,-1.04,-0.73,-4.31,-0.55,1,0,0,0
-1.00,-0.61,-0.99,-0.79,-0.89,-0.65,-3.89,-0.51,1,0,0,0
-1.00,-0.52,-1.04,-0.46,-0.89,-0.61,-3.73,-0.58,1,0,0,0
-1.00,-0.61,-0.89,-0.66,-1.03,-0.55,-4.15,-0.57,1,0,0,0
-1.00,-0.51,-0.92,-0.65,-1.07,-0.48,-4.13,-0.60,1,0,0,0
-1.00,-0.71,-1.05,-0.52,-0.89,-0.73,-2.47,-0.52,1,0,0,0
-1.00,-0.44,-1.18,-0.72,-1.05,-0.52,-1.23,-0.48,1,0,0,0
-1.00,-0.46,-1.19,-0.68,-1.16,-0.59,-3.71,-0.62,1,0,0,0
-1.00,-0.54,-1.08,-0.77,-1.14,-0.65,-4.23,-0.51,1,0,0,0
-1.00,-0.54,-0.91,-0.63,-1.15,-0.78,-1.97,-0.51,1,0,0,0
-1.00,-0.73,-0.90,-0.59,-1.03,-0.63,-2.64,-0.51,1,0,0,0
-1.00,-0.70,-0.93,-0.73,-1.12,-0.64,-3.98,-0.53,1,0,0,0
-1.00,-0.65,-1.02,-0.62,-1.19,-0.67,-1.20,-0.46,1,0,0,0
-1.00,-0.67,-1.04,-0.71,-0.97,-0.72,-2.62,-0.48,1,0,0,0
-1.00,-0.57,-1.09,-0.73,-0.92,-0.73,-3.08,-0.57,1,0,0,0
-1.00,-0.71,-1.07,-0.62,-0.88,-0.44,-1.98,-0.54,1,0,0,0
-1.00,-0.43,-0.95,-0.46,-1.18,-0.41,-3.13,-0.57,1,0,0,0
-1.00,-0.73,-1.07,-0.46,-0.94,-0.60,-3.43,-0.48,1,0,0,0
-1.00,-0.55,-1.05,-0.79,-1.02,-0.76,-3.81,-0.57,1,0,0,0
-1.00,-0.61,-1.10,-0.58,-0.97,-0.71,-1.74,-0.52,1,0,0,0
-1.00,-0.54,-1.14,-0.75,-1.10,-0.48,-3.33,-0.55,1,0,0,0
-1.00,-0.65,-0.93,-0.54,-1.19,-0.62,-1.25,-0.62,1,0,0,0
-1.00,-0.45,-1.04,-0.52,-0.98,-0.74,-2.48,-0.53,1,0,0,0
-1.00,-0.46,-0.95,-0.74,-1.11,-0.70,-2.85,-0.58,1,0,0,0
-1.00,-0.63,-0.89,-0.76,-1.09,-0.41,-2.86,-0.46,1,0,0,0
-1.00,-0.57,-1.11,-0.53,-0.95,-0.71,-4.29,-0.49,1,0,0,0
-1.00,-0.59,-1.09,-0.47,-1.09,-0.62,-3.40,-0.46,1,0,0,0
-1.00,-0.42,-0.88,-0.66,-0.93,-0.46,-1.57,-0.58,1,0,0,0
-1.00,-0.45,-1.10,-0.49,-1.17,-0.66,-2.68,-0.45,1,0,0,0
-1.00,-0.51,-0.93,-0.63,-1.14,-0.61,-1.34,-0.49,1,0,0,0
-1.00,-0.52,-1.08,-0.78,-0.90,-0.74,-2.87,-0.48,1,0,0,0
-1.00,-0.53,-0.88,-0.52,-1.03,-0.64,-3.41,-0.62,1,0,0,0
-1.00,-0.61,-1.16,-0.60,-1.09,-0.77,-4.04,-0.47,1,0,0,0
-1.00,-0.54,-1.02,-0.44,-0.98,-0.77,-4.48,-0.57,1,0,0,0
-1.00,-0.49,-1.07,-0.72,-1.13,-0.43,-2.63,-0.49,1,0,0,0
-1.00,-0.62,-1.13,-0.67,-0.88,-0.75,-4.25,-0.60,1,0,0,0
-1.00,-0.51,-0.89,-0.66,-1.00,-0.70,-3.72,-0.57,1,0,0,0
