Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,Salida
1.00,-0.62,-0.97,-0.76,-1.03,-0.63,-2.16,0.59,1
1.00,-0.58,-0.92,-0.80,-1.09,-0.61,-4.29,0.62,1
1.00,-0.74,-0.89,-0.69,-0.91,-0.68,-1.41,0.49,1
1.00,-0.69,-1.13,-0.73,-1.08,-0.77,-2.05,0.57,1
1.00,-0.63,-1.00,-0.64,-0.89,-0.66,-1.57,0.61,1
1.00,-0.74,-1.03,-0.72,-1.16,-0.60,-4.18,0.53,1
1.00,-0.80,-0.93,-0.72,-0.97,-0.64,-2.06,0.53,1
1.00,-0.65,-0.86,-0.67,-1.04,-0.58,-2.47,0.62,1
1.00,-0.70,-1.18,-0.68,-0.81,-0.56,-0.98,0.58,1
1.00,-0.61,-1.19,-0.76,-1.19,-0.58,-3.91,0.61,1
1.00,-0.76,-0.81,-0.57,-1.19,-0.71,-1.25,0.60,1
1.00,-0.55,-0.90,-0.73,-1.13,-0.70,-3.90,0.56,1
1.00,-0.63,-1.15,-0.76,-0.99,-0.66,-3.34,0.46,1
1.00,-0.78,-0.91,-0.75,-0.99,-0.57,-3.68,0.52,1
1.00,-0.59,-1.12,-0.76,-0.91,-0.58,-1.60,0.49,1
1.00,-0.59,-0.90,-0.57,-0.88,-0.64,-1.14,0.48,1
1.00,-0.79,-0.88,-0.75,-1.18,-0.78,-1.02,0.50,1
1.00,-0.71,-0.92,-0.59,-1.06,-0.69,-2.76,0.59,1
1.00,-0.74,-0.94,-0.75,-0.98,-0.79,-2.12,0.58,1
1.00,-0.67,-1.05,-0.71,-0.93,-0.79,-2.50,0.56,1
1.00,-0.64,-0.96,-0.60,-0.95,-0.56,-3.90,0.59,1
1.00,-0.70,-1.01,-0.60,-0.86,-0.61,-1.33,0.49,1
1.00,-0.71,-1.10,-0.65,-1.07,-0.73,-1.49,0.51,1
1.00,-0.57,-1.16,-0.56,-0.96,-0.77,-2.93,0.49,1
1.00,-0.61,-1.02,-0.74,-0.95,-0.73,-0.95,0.61,1
1.00,-0.58,-0.88,-0.68,-0.94,-0.60,-0.82,0.60,1
1.00,-0.63,-1.08,-0.58,-1.14,-0.71,-2.11,0.48,1
1.00,-0.68,-1.06,-0.59,-0.90,-0.68,-2.47,0.50,1
1.00,-0.72,-1.16,-0.69,-0.88,-0.70,-3.14,0.58,1
1.00,-0.71,-1.07,-0.76,-1.17,-0.70,-3.36,0.59,1
1.00,-0.60,-1.19,-0.72,-1.06,-0.62,-2.04,0.51,1
1.00,-0.64,-1.20,-0.79,-0.98,-0.79,-3.12,0.52,1
1.00,-0.59,-1.15,-0.66,-0.97,-0.66,-1.33,0.58,1
1.00,-0.67,-1.07,-0.79,-1.04,-0.68,-4.36,0.54,1
1.00,-0.68,-0.95,-0.59,-1.20,-0.57,-3.58,0.47,1
1.00,-0.62,-1.08,-0.57,-1.19,-0.77,-2.74,0.49,1
1.00,-0.56,-0.83,-0.72,-1.06,-0.72,-1.94,0.55,1
1.00,-0.77,-1.07,-0.64,-0.92,-0.59,-1.73,0.47,1
1.00,-0.68,-0.84,-0.62,-0.86,-0.77,-2.22,0.58,1
1.00,-0.69,-1.06,-0.65,-0.83,-0.75,-2.57,0.48,1
1.00,-0.69,-0.97,-0.71,-0.84,-0.56,-2.73,0.56,1
1.00,-0.72,-0.93,-0.72,-1.05,-0.56,-2.28,0.62,1
1.00,-0.74,-0.94,-0.73,-1.17,-0.72,-0.88,0.50,1
1.00,-0.58,-0.82,-0.72,-0.91,-0.69,-1.56,0.55,1
1.00,-0.66,-1.01,-0.59,-0.82,-0.71,-3.01,0.47,1
1.00,-0.73,-1.07,-0.63,-0.83,-0.68,-2.57,0.50,1
1.00,-0.76,-1.16,-0.56,-0.86,-0.65,-2.09,0.58,1
1.00,-0.70,-0.99,-0.59,-0.98,-0.69,-0.96,0.48,1
1.00,-0.59,-1.19,-0.71,-0.89,-0.80,-3.39,0.49,1
1.00,-0.74,-1.08,-0.80,-1.02,-0.64,-1.85,0.62,1
1.00,-0.64,-0.96,-0.72,-0.83,-0.66,-3.55,0.53,1
1.00,-0.77,-0.86,-0.57,-0.98,-0.66,-3.88,0.48,1
1.00,-0.73,-0.87,-0.60,-0.90,-0.77,-3.70,0.61,1
1.00,-0.77,-0.87,-0.75,-1.14,-0.63,-1.59,0.51,1
1.00,-0.73,-0.88,-0.71,-0.99,-0.73,-3.10,0.48,1
1.00,-0.63,-0.97,-0.69,-0.88,-0.71,-0.91,0.47,1
1.00,-0.78,-0.99,-0.76,-1.11,-0.69,-4.26,0.55,1
1.00,-0.76,-0.93,-0.74,-1.12,-0.70,-1.68,0.51,1
1.00,-0.61,-1.17,-0.68,-1.18,-0.60,-1.80,0.62,1
1.00,-0.73,-1.13,-0.78,-0.88,-0.65,-2.35,0.60,1
1.00,-0.67,-1.01,-0.59,-1.04,-0.69,-1.13,0.48,1
1.00,-0.67,-0.90,-0.68,-0.98,-0.56,-4.47,0.51,1
1.00,-0.67,-0.92,-0.70,-1.08,-0.74,-3.08,0.49,1
1.00,-0.77,-0.90,-0.62,-0.88,-0.72,-3.00,0.60,1
1.00,-0.56,-0.93,-0.79,-1.16,-0.62,-2.44,0.52,1
1.00,-0.67,-1.10,-0.56,-0.89,-0.60,-1.42,0.60,1
1.00,-0.67,-1.06,-0.66,-1.04,-0.77,-2.03,0.51,1
1.00,-0.70,-1.15,-0.73,-1.13,-0.71,-2.54,0.60,1
1.00,-0.64,-1.20,-0.79,-0.93,-0.65,-3.06,0.46,1
1.00,-0.68,-1.06,-0.69,-1.05,-0.63,-4.21,0.50,1
1.00,-0.80,-0.83,-0.75,-0.88,-0.77,-4.11,0.53,1
1.00,-0.65,-0.86,-0.80,-0.96,-0.60,-4.42,0.50,1
1.00,-0.58,-0.93,-0.72,-0.93,-0.72,-1.03,0.61,1
1.00,-0.60,-0.98,-0.70,-1.06,-0.68,-2.10,0.62,1
1.00,-0.72,-0.99,-0.72,-0.98,-0.75,-3.94,0.62,1
1.00,-0.71,-1.01,-0.67,-1.18,-0.56,-2.45,0.58,1
1.00,-0.73,-0.97,-0.68,-1.19,-0.59,-3.89,0.47,1
1.00,-0.63,-0.86,-0.77,-1.18,-0.73,-3.80,0.48,1
1.00,-0.57,-1.18,-0.64,-1.11,-0.64,-2.40,0.60,1
1.00,-0.62,-0.81,-0.59,-1.15,-0.56,-1.53,0.51,1
1.00,-0.70,-0.89,-0.62,-0.89,-0.70,-3.59,0.60,1
1.00,-0.57,-1.04,-0.66,-1.17,-0.56,-1.99,0.53,1
1.00,-0.69,-1.13,-0.75,-0.95,-0.70,-0.90,0.58,1
1.00,-0.64,-1.00,-0.67,-1.18,-0.66,-2.39,0.47,1
1.00,-0.55,-0.88,-0.67,-0.94,-0.59,-2.22,0.46,1
1.00,-0.62,-1.05,-0.71,-1.01,-0.74,-2.03,0.55,1
1.00,-0.77,-1.16,-0.75,-0.93,-0.69,-2.65,0.62,1
1.00,-0.63,-1.11,-0.75,-0.81,-0.75,-3.51,0.47,1
1.00,-0.78,-1.00,-0.68,-1.06,-0.71,-0.81,0.61,1
1.00,-0.78,-0.98,-0.72,-0.83,-0.64,-3.19,0.51,1
1.00,-0.64,-1.16,-0.71,-1.13,-0.67,-2.75,0.49,1
1.00,-0.79,-1.00,-0.77,-1.02,-0.77,-1.62,0.62,1
1.00,-0.75,-1.16,-0.59,-0.94,-0.69,-2.74,0.51,1
1.00,-0.80,-0.93,-0.66,-0.88,-0.68,-3.07,0.61,1
1.00,-0.76,-1.11,-0.65,-1.12,-0.76,-1.65,0.60,1
1.00,-0.73,-1.02,-0.69,-0.97,-0.69,-3.80,0.47,1
1.00,-0.58,-1.10,-0.73,-1.10,-0.68,-4.48,0.54,1
1.00,-0.57,-0.81,-0.63,-1.08,-0.73,-2.20,0.61,1
1.00,-0.67,-1.09,-0.79,-1.05,-0.66,-1.52,0.60,1
1.00,-0.65,-1.13,-0.78,-0.97,-0.78,-4.20,0.56,1
-1.00,-0.78,-0.88,-0.56,-0.89,-0.64,-3.34,-0.50,2
-1.00,-0.71,-1.07,-0.71,-0.84,-0.60,-2.48,-0.52,2
-1.00,-0.68,-1.08,-0.73,-0.97,-0.56,-4.03,-0.61,2
-1.00,-0.56,-0.93,-0.57,-0.82,-0.69,-3.36,-0.55,2
-1.00,-0.67,-1.03,-0.77,-0.81,-0.80,-1.47,-0.46,2
-1.00,-0.61,-0.83,-0.74,-1.10,-0.61,-3.75,-0.55,2
-1.00,-0.56,-0.82,-0.67,-1.06,-0.62,-3.57,-0.49,2
-1.00,-0.58,-0.89,-0.68,-1.07,-0.69,-3.38,-0.55,2
-1.00,-0.62,-1.01,-0.78,-1.16,-0.63,-4.13,-0.53,2
-1.00,-0.65,-0.91,-0.62,-1.13,-0.61,-1.43,-0.52,2
-1.00,-0.65,-1.02,-0.79,-1.06,-0.67,-2.21,-0.56,2
-1.00,-0.70,-1.12,-0.62,-0.98,-0.71,-1.15,-0.57,2
-1.00,-0.66,-0.86,-0.64,-1.17,-0.68,-2.91,-0.61,2
-1.00,-0.60,-0.95,-0.59,-1.07,-0.80,-3.58,-0.57,2
-1.00,-0.58,-0.84,-0.74,-0.99,-0.66,-2.12,-0.62,2
-1.00,-0.70,-1.13,-0.76,-1.14,-0.75,-2.03,-0.58,2
-1.00,-0.69,-1.07,-0.69,-0.97,-0.65,-4.37,-0.57,2
-1.00,-0.79,-0.88,-0.60,-1.05,-0.60,-3.36,-0.55,2
-1.00,-0.58,-0.95,-0.74,-0.95,-0.66,-3.43,-0.53,2
-1.00,-0.69,-1.08,-0.70,-0.94,-0.70,-3.10,-0.60,2
-1.00,-0.61,-1.14,-0.70,-0.93,-0.58,-3.98,-0.57,2
-1.00,-0.70,-0.90,-0.77,-0.93,-0.61,-3.23,-0.48,2
