Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,Salida,,,,,
1,-0.6666666667,-1,-0.75,-1,-0.6666666667,-2,0.5,1,,,,,
1,-2.714216118,-5.725812086,-3.669933365,-1.578404236,-3.617221658,-4.513712035,-2.467804972,0,,,,,
1,-0.3899931573,-3.116042172,-1.790798354,-5.809133952,-0.9113701493,-3.835569564,6.531061519,0,,,,,
0,-1.088019351,-5.859384369,-5.682108018,-3.605164982,-5.733685784,-1.503121552,6.235803566,0,,,,,
0,-0.9196273682,-5.077860787,-1.628192362,-3.27434098,-1.326510457,-5.22238283,-6.766894252,0,,,,,
1,-3.860950214,-1.862549568,-0.5331958597,-2.788766653,-1.042904888,-3.860989237,-2.545286315,0,,,,,
1,-5.315537631,-5.741094566,-3.720611695,-1.807678993,-5.107898558,-5.609225336,-1.735977882,0,,,,,
1,-2.503337396,-3.469950847,-2.131393188,-2.636405217,-0.8801644877,-2.223005508,1.004299988,0,,,,,
1,-5.199425427,-1.008002047,-3.106142945,-1.151390991,-5.142416763,-0.7897530068,4.099221114,0,,,,,
0,-3.10089644,-3.505077259,-1.314534391,-0.9287911876,-3.697884289,-4.169953801,4.998360395,0,,,,,
1,-3.941074631,-0.915066584,-1.85309999,-3.941950429,-4.55381887,-0.6423086293,-3.353546204,0,,,,,
0,-2.927522982,-4.740348709,-1.397908311,-1.581951708,-4.575003365,-5.325087402,5.741302174,0,,,,,
0,-2.0531298,-1.602903298,-0.6390981513,-3.873411003,-1.404625991,-0.1405307574,-4.943540459,0,,,,,
1,-4.6013511,-3.779478181,-5.413064819,-2.469656983,-2.517406403,-5.136778227,-4.354935297,0,,,,,
0,-5.846616349,-0.06047741978,-0.5614912256,-3.61094386,-3.329573494,-5.018436585,-5.491928414,0,,,,,
1,-5.833576822,-5.921539629,-3.633384841,-5.00747831,-0.7127721031,-3.215871518,-6.370239149,0,,,,,
0,-1.960059234,-1.649368515,-4.134597208,-1.010921039,-4.110594716,-5.987265985,4.175113644,0,,,,,
0,-3.649182505,-2.975738505,-1.396122482,-1.899239647,-0.8497893116,-3.393566384,5.563430152,0,,,,,
0,-0.4644922583,-2.152220608,-4.376015422,-2.607030424,-2.001267003,-2.105981628,-3.518503233,0,,,,,
1,-4.63542718,-5.782061441,-3.618946856,-3.289328445,-1.683036312,-2.174438662,-0.680193375,0,,,,,
0,-0.5986553043,-5.003191312,-5.698717483,-0.3268095056,-1.34716648,-0.5083312818,1.435520307,0,,,,,
1,-5.650493423,-3.597975311,-0.3959727994,-2.678766491,-2.056786175,-0.3858025033,-3.526105206,0,,,,,
0,-0.01227515788,-4.906976481,-3.200579894,-0.2385400776,-5.784828791,-1.284735119,5.779101918,0,,,,,
