Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,Salida
1,-0.7370980138,-0.8514891648,-0.7621962985,-1.121994339,-0.5974939761,-2.614478924,0.6030774536,1
1,-0.6963113821,-0.9839420797,-0.7284318149,-0.9111707525,-0.7174835882,-1.93734651,0.6083584569,1
1,-0.6580111978,-1.061099686,-0.6085191479,-0.8778330252,-0.6494531798,-2.641667163,0.6084619585,1
1,-0.6502540961,-1.15106617,-0.7464298823,-0.9943633061,-0.6410431755,-3.596491196,0.5907419767,1
1,-0.5759328413,-0.8055245499,-0.7885969373,-0.9391977262,-0.5840626073,-2.401891029,0.5599374135,1
1,-0.7850115239,-1.168953731,-0.6436875297,-0.9464787474,-0.7967241901,-1.265144525,0.6153218976,1
1,-0.581843319,-1.16858658,-0.7634034241,-1.082550965,-0.7137778946,-1.966456068,0.47926804,1
1,-0.6562086553,-1.046505044,-0.6162438198,-0.9903041367,-0.7580846495,-3.595928381,0.4941869052,1
1,-0.5693031755,-1.162332194,-0.7858852019,-0.9839022286,-0.6682336632,-2.327105424,0.5944777578,1
1,-0.689793518,-0.9319424332,-0.7841643794,-0.8803849453,-0.6444179175,-1.114690726,0.5113172596,1
1,-0.5588313175,-1.083212906,-0.6937471539,-1.08712651,-0.7286507959,-2.641716813,0.5763013031,1
1,-0.7988625075,-0.8998539083,-0.7699603492,-0.9851941714,-0.7774902602,-4.387070792,0.50748427,1
1,-0.6746607549,-1.127721641,-0.6894368875,-0.9792072907,-0.7330891854,-3.392904833,0.5711219629,1
1,-0.594408243,-1.197759287,-0.6701277678,-0.9356047539,-0.6494168832,-4.19521532,0.521468359,1
1,-0.7452880196,-1.148382446,-0.6063589537,-0.8761970277,-0.736173815,-4.03910042,0.5236883706,1
1,-0.6390972842,-0.9468908966,-0.7118064179,-0.9476321324,-0.6947215737,-4.33119296,0.5994614381,1
1,-0.7739011581,-0.8036162743,-0.7137658362,-1.151682979,-0.7633045191,-2.257254975,0.5244054137,1
1,-0.6852533323,-0.9353907437,-0.7408690785,-0.8348891412,-0.6191492301,-4.185413431,0.5641256195,1
1,-0.6367659297,-0.9103203827,-0.6041009451,-1.061170107,-0.6317401873,-1.013123197,0.5163884221,1
1,-0.5542125777,-1.055632022,-0.577510404,-1.152103393,-0.5817946835,-1.69866391,0.5846910928,1
1,-0.7337186162,-0.9003006073,-0.6619322638,-1.060340197,-0.5548247676,-1.163862965,0.5103437432,1
1,-0.6376765796,-0.9220453187,-0.5685285434,-0.8315594885,-0.7078695458,-1.453573318,0.5990231836,1
1,-0.5822736759,-0.8340320626,-0.7896051299,-0.880666482,-0.7169615356,-1.674131962,0.5979540064,1
1,-0.7653778796,-1.18159111,-0.6791219189,-1.184367409,-0.7784656425,-1.702173425,0.6076492041,1
1,-0.580690546,-0.8293908031,-0.6359203824,-0.9791511743,-0.7396797324,-3.822587257,0.6014848438,1
1,-0.6067775964,-0.9345424063,-0.6550144647,-1.151695229,-0.6892207106,-4.330970067,0.4674853111,1
1,-0.7863109335,-0.9795443726,-0.5705381509,-0.8555569438,-0.5926777441,-2.41325489,0.5746463885,1
1,-0.6513325146,-0.9759463229,-0.6761522156,-1.039961531,-0.6543013222,-0.8722122224,0.5366633054,1
1,-0.777198519,-0.8924087309,-0.6414163332,-1.034719475,-0.7204428202,-1.294138899,0.4731139374,1
1,-0.6975230831,-0.9241922463,-0.5558769997,-0.9096319655,-0.6797585744,-2.221943876,0.5804460675,1
1,-0.6816792988,-0.88202091,-0.7988835173,-1.016403464,-0.6177807105,-2.893104897,0.4519855808,1
1,-0.679960415,-0.9174503782,-0.6533925226,-1.079627363,-0.7644735273,-1.562472165,0.5713032549,1
1,-0.6338532543,-0.8466368265,-0.7393531316,-0.8424954261,-0.6271496508,-1.113885527,0.5637010793,1
1,-0.7178484973,-0.8450278541,-0.6382273333,-0.8470996024,-0.7176981019,-1.02304853,0.5876586435,1
1,-0.7110558198,-1.014889115,-0.6411148666,-1.131661246,-0.7833619788,-3.909310094,0.5916072063,1
1,-0.6924428428,-0.9713439363,-0.7732189007,-0.8128876552,-0.5939403499,-1.910238281,0.5675258579,1
1,-0.5920889091,-1.13422793,-0.7039623181,-0.9642298643,-0.5762403114,-4.466815989,0.4743944766,1
1,-0.6832138263,-0.8564216807,-0.6789628306,-0.8725020831,-0.7346847036,-2.28449414,0.6039266116,1
1,-0.7337828237,-1.188164557,-0.6139754494,-0.9130456787,-0.7489114177,-2.466130556,0.6066841583,1
1,-0.6387057568,-1.148453201,-0.7685808154,-0.8259236753,-0.6674424298,-2.03611858,0.6128876578,1
1,-0.7070278804,-0.9023409599,-0.6028825006,-1.126155991,-0.5762747499,-4.499843408,0.4751705079,1
1,-0.7918136397,-0.809791511,-0.7446664427,-0.9405118802,-0.6778767765,-3.079822837,0.5004893767,1
1,-0.7262318125,-1.044704143,-0.7818584412,-0.9600147943,-0.7079480762,-3.594478507,0.5431503618,1
1,-0.6878297329,-1.045074799,-0.6021967284,-0.8523248185,-0.5964430478,-3.048612948,0.4644868853,1
1,-0.6555900249,-1.021370465,-0.5691230769,-1.191685908,-0.6387937295,-1.428622284,0.5591527766,1
1,-0.6763114082,-0.8552720962,-0.6155931723,-1.113324667,-0.5950455028,-1.754347857,0.6168374518,1
1,-0.6694410648,-0.8651671613,-0.6964994981,-0.8283647801,-0.6945564105,-3.672592172,0.5065373453,1
1,-0.6729790815,-0.8891728752,-0.6377438692,-0.8052040911,-0.6387794178,-3.122047608,0.544985927,1
1,-0.73813097,-1.025134684,-0.7873670067,-0.9742052985,-0.7647584386,-2.963925164,0.6066075857,1
1,-0.6605756417,-0.8679009419,-0.6731392424,-0.8835911191,-0.6367552637,-4.099348986,0.510220691,1
1,-0.7665060188,-1.178009873,-0.7678471034,-1.068483088,-0.6598302271,-2.088423823,0.615401242,1
1,-0.5772327897,-0.8008350722,-0.6500303064,-0.946595042,-0.5623690391,-3.541304768,0.5770999678,1
1,-0.633642176,-1.051183768,-0.618219451,-0.904846784,-0.7374998222,-1.747369452,0.586212124,1
1,-0.7584401857,-1.194038291,-0.6631091928,-1.015214835,-0.6569830147,-1.847358722,0.6119434555,1
1,-0.6544179538,-1.193886031,-0.6365682653,-0.9768502611,-0.6381935077,-4.408483984,0.4670785498,1
1,-0.7244638829,-1.094856223,-0.6932762931,-1.064967467,-0.7808283135,-1.25355397,0.5743152884,1
1,-0.6087309101,-1.051186657,-0.5835697352,-0.9369189283,-0.5620443133,-2.347909951,0.583374277,1
1,-0.7459935366,-0.9574136035,-0.5759538065,-0.8718772521,-0.6567674576,-3.504087913,0.6012156999,1
1,-0.5707012417,-0.844373036,-0.7736762575,-1.139928859,-0.5879715847,-1.590444687,0.5398636022,1
1,-0.7581145916,-0.9107400954,-0.749707892,-0.9641212837,-0.6163120823,-3.735845988,0.5953224259,1
1,-0.719221427,-0.970651995,-0.6342320694,-1.07296532,-0.6980555863,-1.82900371,0.5036593251,1
1,-0.5693218975,-0.8403622928,-0.7999464731,-0.8543222721,-0.7146485708,-3.52462868,0.463847384,1
1,-0.7542908281,-0.8029897638,-0.7112340221,-0.8226244139,-0.7784279613,-1.796235,0.5026487308,1
1,-0.6203538208,-0.8503316793,-0.6946796181,-0.9366395536,-0.6432712235,-1.577953603,0.5117147974,1
1,-0.780279104,-0.8640353356,-0.7174660754,-1.142224494,-0.6894426208,-1.951728338,0.4787488903,1
1,-0.6159881506,-0.8694887124,-0.7039982291,-1.156105088,-0.7827656954,-1.205539377,0.5994359324,1
1,-0.7026211348,-0.9020194212,-0.7599909984,-0.8640503621,-0.6567613574,-2.528675518,0.483610353,1
1,-0.5846791272,-0.835714355,-0.6894940691,-0.8025039024,-0.6261516668,-3.292249853,0.4829126831,1
1,-0.7664574293,-1.01558171,-0.6568511621,-1.135558654,-0.6479323272,-3.931380519,0.5778214274,1
1,-0.7308238339,-1.08616305,-0.6434814244,-0.9736818703,-0.7985271439,-4.000253314,0.4519025913,1
1,-0.7728643667,-1.031697437,-0.7951530848,-0.9913758463,-0.7132742778,-1.927875977,0.5386597428,1
1,-0.6965395361,-1.069927964,-0.6489750439,-1.138397007,-0.5843219725,-2.09668952,0.5540251852,1
1,-0.5870031516,-1.078049647,-0.7502993487,-0.9217159853,-0.5505905579,-4.114200869,0.6238010703,1
1,-0.7948436365,-0.8709316919,-0.5550396006,-0.9703884247,-0.7187468304,-3.972970969,0.4642832896,1
1,-0.754660341,-1.118871331,-0.6902646598,-1.148081974,-0.7210788641,-4.323684893,0.5831068225,1
1,-0.7390062953,-0.9904858916,-0.6776769429,-0.9056391065,-0.7487175548,-1.173112425,0.6164596753,1
1,-0.6141281108,-0.8207593404,-0.7837392023,-1.123088072,-0.7123984011,-0.8868699565,0.5565731494,1
1,-0.7102618011,-1.117092568,-0.5649058805,-0.9950282306,-0.5760632488,-0.9857812653,0.6245731187,1
1,-0.7045219339,-0.9302863223,-0.7513984011,-1.155999092,-0.6082973717,-1.947409043,0.6063085959,1
1,-0.5639076641,-0.8505910932,-0.5763768648,-1.004627129,-0.6168285801,-2.781114528,0.6225285219,1
1,-0.6727666833,-0.8952050029,-0.5981890894,-0.9209210196,-0.594551134,-2.474288524,0.6240096396,1
1,-0.7446973771,-0.8123588039,-0.6297347688,-1.194461819,-0.7363135942,-2.965227669,0.5501609557,1
