Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2
1.00,-0.47,-1.02,-0.49,-1.19,-0.71,-2.80,0.69,1,0
1.00,-0.50,-0.99,-0.55,-1.10,-0.57,-4.32,1.07,1,0
1.00,-0.40,-1.11,-0.72,-1.02,-0.79,-3.95,0.47,1,0
1.00,-0.64,-1.07,-0.55,-0.90,-0.72,-1.70,0.06,1,0
1.00,-0.49,-1.07,-0.64,-0.94,-0.73,-1.71,0.80,1,0
1.00,-0.41,-1.07,-0.50,-0.91,-0.46,-1.32,0.04,1,0
1.00,-0.58,-1.12,-0.53,-1.19,-0.73,-2.87,1.19,1,0
1.00,-0.40,-0.89,-0.49,-1.09,-0.68,-1.42,1.02,1,0
1.00,-0.58,-1.09,-0.73,-0.86,-0.63,-1.76,0.49,1,0
1.00,-0.42,-0.92,-0.45,-0.96,-0.70,-2.11,0.77,1,0
1.00,-0.44,-1.18,-0.75,-0.93,-0.41,-2.69,0.54,1,0
1.00,-0.65,-0.95,-0.55,-1.18,-0.65,-2.47,0.24,1,0
1.00,-0.41,-1.05,-0.46,-1.02,-0.71,-4.42,1.13,1,0
1.00,-0.72,-0.97,-0.76,-1.10,-0.43,-2.31,0.76,1,0
1.00,-0.52,-1.01,-0.54,-1.04,-0.72,-0.89,1.08,1,0
1.00,-0.48,-1.07,-0.71,-0.86,-0.59,-1.33,1.27,1,0
1.00,-0.75,-1.00,-0.71,-0.86,-0.78,-2.29,0.88,1,0
1.00,-0.63,-1.13,-0.73,-1.08,-0.61,-4.46,0.51,1,0
1.00,-0.45,-1.10,-0.77,-1.00,-0.42,-2.09,0.11,1,0
1.00,-0.54,-1.07,-0.42,-1.02,-0.72,-1.71,0.24,1,0
1.00,-0.73,-1.17,-0.74,-1.11,-0.73,-3.54,0.35,1,0
1.00,-0.49,-1.04,-0.71,-1.00,-0.77,-1.20,0.13,1,0
1.00,-0.53,-0.88,-0.57,-0.88,-0.78,-4.39,-0.14,1,0
1.00,-0.67,-1.19,-0.64,-0.93,-0.45,-4.04,0.25,1,0
1.00,-0.52,-0.85,-0.44,-1.09,-0.44,-0.84,0.32,1,0
1.00,-0.50,-0.92,-0.77,-0.98,-0.63,-3.65,0.22,1,0
1.00,-0.65,-1.11,-0.79,-1.11,-0.73,-3.95,0.64,1,0
1.00,-0.77,-0.95,-0.71,-0.86,-0.68,-2.23,1.04,1,0
1.00,-0.45,-1.18,-0.50,-1.15,-0.71,-2.62,-0.02,1,0
1.00,-0.68,-0.94,-0.41,-0.88,-0.62,-2.74,1.06,1,0
1.00,-0.78,-1.09,-0.45,-1.04,-0.61,-4.13,0.79,1,0
1.00,-0.62,-1.01,-0.46,-1.09,-0.71,-3.37,0.83,1,0
1.00,-0.49,-1.18,-0.58,-0.98,-0.79,-1.53,0.03,1,0
1.00,-0.78,-1.15,-0.77,-1.08,-0.74,-2.90,0.46,1,0
1.00,-0.80,-1.17,-0.46,-0.91,-0.70,-1.81,-0.01,1,0
1.00,-0.49,-1.09,-0.50,-0.86,-0.72,-1.82,1.03,1,0
1.00,-0.52,-0.90,-0.61,-1.08,-0.57,-2.88,0.27,1,0
1.00,-0.48,-1.05,-0.57,-0.96,-0.49,-1.37,0.73,1,0
1.00,-0.57,-1.13,-0.59,-1.03,-0.65,-0.92,-0.07,1,0
1.00,-0.50,-0.95,-0.57,-1.19,-0.70,-3.42,0.98,1,0
1.00,-0.52,-1.08,-0.62,-1.16,-0.56,-0.86,0.48,1,0
1.00,-0.69,-0.99,-0.75,-1.19,-0.47,-3.63,-0.03,1,0
1.00,-0.76,-0.96,-0.76,-0.95,-0.73,-1.08,0.34,1,0
1.00,-0.48,-0.93,-0.69,-1.06,-0.60,-2.87,1.29,1,0
1.00,-0.60,-0.97,-0.64,-1.07,-0.54,-2.28,1.14,1,0
1.00,-0.50,-1.10,-0.57,-1.13,-0.58,-1.48,0.28,1,0
1.00,-0.51,-0.98,-0.52,-1.07,-0.46,-2.52,0.38,1,0
1.00,-0.50,-1.10,-0.74,-0.96,-0.51,-2.98,0.76,1,0
1.00,-0.78,-0.87,-0.59,-0.85,-0.67,-3.50,0.46,1,0
1.00,-0.64,-0.88,-0.41,-1.15,-0.70,-1.16,1.15,1,0
1.00,-0.69,-1.19,-0.80,-1.15,-0.66,-3.61,0.17,1,0
1.00,-0.59,-1.11,-0.67,-0.97,-0.51,-3.41,0.68,1,0
1.00,-0.48,-1.08,-0.48,-1.14,-0.63,-2.15,1.15,1,0
1.00,-0.57,-0.87,-0.44,-1.01,-0.50,-1.51,0.00,1,0
1.00,-0.42,-0.95,-0.43,-1.02,-0.58,-2.42,0.10,1,0
1.00,-0.79,-1.17,-0.48,-0.86,-0.53,-1.32,0.22,1,0
1.00,-0.46,-1.20,-0.59,-1.12,-0.58,-2.28,0.19,1,0
1.00,-0.63,-0.97,-0.58,-0.99,-0.42,-3.93,0.23,1,0
1.00,-0.72,-0.86,-0.75,-1.01,-0.74,-1.33,0.66,1,0
1.00,-0.68,-1.12,-0.71,-1.02,-0.56,-2.07,0.12,1,0
1.00,-0.77,-0.92,-0.43,-0.99,-0.74,-3.58,-0.09,1,0
1.00,-0.75,-0.86,-0.68,-1.10,-0.55,-2.92,1.12,1,0
1.00,-0.55,-0.95,-0.50,-1.18,-0.67,-1.14,0.61,1,0
